DNN,EFFECTIVE_DATE,EXPIRY_DATE,OUTPUT_DNN
test5gcbbandlsa5bnrz1,20200101000000,20381231235959,5gcbroadband
test5gcbbandnwo2anrz1,20200101000000,20381231235959,5gcbroadband
test5gcbbandshp1bnrz1,20200101000000,20381231235959,5gcbroadband
test5gcbbandsnt4anrz1,20200101000000,20381231235959,5gcbroadband
test5gcbbandtac1anrz1,20200101000000,20381231235959,5gcbroadband
test5gcbbandwah2gnrz1,20200101000000,20381231235959,5gcbroadband
test5gcbbandwhp3gnrz1,20200101000000,20381231235959,5gcbroadband
testimsalb1cnrz1,20200101000000,20381231235959,ims
testimsatl3fnrz1,20200101000000,20381231235959,ims
testimsclm3anrz1,20200101000000,20381231235959,ims
testimsfrb1anrz1,20200101000000,20381231235959,ims
testimsipl2anrz1,20200101000000,20381231235959,ims
testimsjcv2anrz1,20200101000000,20381231235959,ims
testimskgm6fnrz1,20200101000000,20381231235959,ims
testimsksc5anrz1,20200101000000,20381231235959,ims
testimslbc1anrz1,20200101000000,20381231235959,ims
testimslsa5bnrz1,20200101000000,20381231235959,ims
testimsnwo2anrz1,20200101000000,20381231235959,ims
testimsshp1bnrz1,20200101000000,20381231235959,ims
testimssnt4anrz1,20200101000000,20381231235959,ims
testimstac1anrz1,20200101000000,20381231235959,ims
testimswah2gnrz1,20200101000000,20381231235959,ims
testimswhp3gnrz1,20200101000000,20381231235959,ims
testnrfwbb2alb1cnrz1,20200101000000,20381231235959,nrphone
testnrfwbb2atl3fnrz1,20200101000000,20381231235959,nrphone
testnrfwbb2clm3anrz1,20200101000000,20381231235959,nrphone
testnrfwbb2frb1anrz1,20200101000000,20381231235959,nrphone
testnrfwbb2ipl2anrz1,20200101000000,20381231235959,nrphone
testnrfwbb2jcv2anrz1,20200101000000,20381231235959,nrphone
testnrfwbb2kgm6fnrz1,20200101000000,20381231235959,nrphone
testnrfwbb2ksc5anrz1,20200101000000,20381231235959,nrphone
testnrfwbb2lbc1anrz1,20200101000000,20381231235959,nrphone
testnrfwbb2lsa5bnrz1,20200101000000,20381231235959,nrphone
testnrfwbb2nwo2anrz1,20200101000000,20381231235959,nrphone
testnrfwbb2shp1bnrz1,20200101000000,20381231235959,nrphone
testnrfwbb2snt4anrz1,20200101000000,20381231235959,nrphone
testnrfwbb2tac1anrz1,20200101000000,20381231235959,nrphone
testnrfwbb2wah2gnrz1,20200101000000,20381231235959,nrphone
testnrfwbb2whp3gnrz1,20200101000000,20381231235959,nrphone
testnrfwbbalb1cnrz1,20200101000000,20381231235959,nrfwbb
